date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:04	2382/2382	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2017:42:04%20GMT	https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586.html	(from )
10:42:04	57/57	---M--	200	added ('OK')	text/plain	etag:%22686f8188-39%22	https://ois.baucyprus.edu.tr/robots.txt		(from )
10:42:05	148182/148182	---M--	200	added ('OK')	text/css	etag:%22686f8183-242d6%22	https://ois.baucyprus.edu.tr/css/bootstrap-2.3.2.css	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/css/bootstrap-2.3.2.css	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:05	96248/96248	---M--	200	added ('OK')	text/css	etag:%22686f8183-177f8%22	https://ois.baucyprus.edu.tr/css/new.css	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/css/new.css	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:06	93868/93868	---M--	200	added ('OK')	application/javascript	etag:%22686f8188-16eac%22	https://ois.baucyprus.edu.tr/js/jquery-1.7.1.min.js	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/js/jquery-1.7.1.min.js	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:06	5316/5316	---M--	200	added ('OK')	application/javascript	etag:%22686f8188-14c4%22	https://ois.baucyprus.edu.tr/js/jquery.inputmask.extensions.js	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/js/jquery.inputmask.extensions.js	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:07	4358/4358	---M--	200	added ('OK')	application/javascript	etag:%22686f8188-1106%22	https://ois.baucyprus.edu.tr/js/jquery.selectCombo.js	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/js/jquery.selectCombo.js	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:07	4521/4521	---M--	200	added ('OK')	image/png	etag:%225accc8cf-11a9%22	https://ois.baucyprus.edu.tr/images/auth_min_logo.png	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/images/auth_min_logo.png	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:07	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Jul%202025%2017:42:08%20GMT	https://ois.baucyprus.edu.tr/img/ubit_logo.png	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/img/ubit_logo.png	(from https://ois.baucyprus.edu.tr/css/new.css)
10:42:07	210811/210811	---M--	200	added ('OK')	application/javascript	etag:%22686f8187-3377b%22	https://ois.baucyprus.edu.tr/js/bootstrap.min.js	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/js/bootstrap.min.js	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:07	8777/8777	---M--	200	added ('OK')	image/png	etag:%22686f8187-2249%22	https://ois.baucyprus.edu.tr/img/glyphicons-halflings-white.png	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/img/glyphicons-halflings-white.png	(from https://ois.baucyprus.edu.tr/css/new.css)
10:42:08	120243/120243	---M--	200	added ('OK')	application/javascript	etag:%22686f8188-1d5b3%22	https://ois.baucyprus.edu.tr/js/jquery.inputmask.js	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/js/jquery.inputmask.js	(from https://ois.baucyprus.edu.tr/belge-dogrula/0ea5006c-a477-3f0f-38a4-e2796a49c586)
10:42:08	751/751	---M--	200	added ('OK')	image/png	etag:%22686f8185-2ef%22	https://ois.baucyprus.edu.tr/images/calendar.png	C:/My%20Web%20Sites/11/ois.baucyprus.edu.tr/images/calendar.png	(from https://ois.baucyprus.edu.tr/css/new.css)
